userName,content
muhamad ryandot,"Pelayanan keluhan sangat buruk, transaksi status dari tanggal 6 sampe tanggal 10 tidak ada perubahan, dimintain refund ga ada tanggepan, top up sekarang juga kepotong 500 e wallet terburuk sepanjang masa, lebih mending cs judi online dari pada cs dana, yang jawab robot terus ga guna"
Irma Putri Leo,"apk dana bnr"" jlk bgt masa mau daftar premium ga bisa boro"" mau upgrade baru ngeklik tulisan upgrade aja dah tulisan gagal melakukan verifikasi karena pertimbangan resiko ktnya mohon hubungi CS tapi dah aku cht melalui diana dan email aja sma sekli ga ada tanggapan lalu saya harus hubungi siapa kalau seperti ini"
Lina Endriana,"Dana Saya Tiba Tiba Log out, Tapi Ketika Log in kembali Ada pemberitahuan Harus Update ke versi Terbaru, padahal di playstore tidak ada update, bagaimana ini ? Saya jadi tidak bisa bertransaksi"
Muhammad Sholikan,"Aplikasi sampah membingungkan pengguna, akun sudah upgrade dan terverifikasi tapi satu minggu kemudian tiba² akun dinyatakan verifikasi gagal. Sampah."
awang Kos,"JELEK & BURUK penyelesaian masalahnya, isi etol lebih dari 300 ribu tidak masuk saldo terpotong, sudah 4 bulan tidak di kembalikan , lapor sudah 5 kali lebih bahkan, solusinya selalu live chat, live chat. tidak jelas"
Syauqi Ramadhan,Min saya mau buat dana bisnis di apk dana kok gk bisa??mau buat qris all payment min malah gk bisa..pas mau kirim poto malah mental lagi ke menu utama...tolong perbaiki..sementara kasih bintang 3 karna loading apk dana nya jg lama min..kalau sudah di perbaiki nnti kasih bintang 5
Nitha Nilasari,"Mohon di perbaiki dan ditingkatkan lagi keamanannya, saldo saya kebobol 43rb...udah saya cek ulang gak ada keterangan, biasanya setiap ada transaksi akan masuk di email dan playstore, ini gak ada sama sekali"
Heriono Leluku,Dana ini mempersulit bukan mempermudah.... Saat saya mau transaksi di suruh update ke dana peremiom pas mau upgrade nggak bisa alasan kendala Poto E-KTP nggak cocok sama scen wajah terus di biyarin nggak ada bantuan..apaan aplikasi kaya gini
Santr.,"Aman banget sih di pake transaksi, dan mudah banget buat di pakai untuk pembayaran online . Minusnya pas buka apk kadang lemot harus keluar dulu baru masuk lagi biar lancar"
Chyntia Wulandari,Akun saya dibekukan secara sepihak tanpa konfirmasi alasan keamanan sdgkn masih ada saldo yg di saving untuk pembayaran. Minta dibukain pembekuan berkali2 nelpon ngabisin pulsa gk di buka jga berhari2! Ini CS yg gk bisa bukain akun atau sengaja sih berkali2 cuma ngirim email yg sma
Chandra Wimba,"upgrade dana premium gagal terus menerus padahal saya merasa sudah melengkapi dokumen dengan benar tidak ada blur sama skali. Tolong pihak dana di permudah untuk upgrade dana premium,Terimakasih🙏."
Nelvi Simbolon,"pelayanan yang sangat buruk. ngisi pulsa aja udah berjam2 masih dalam proses. ,padahal kita ngisi pulsa karena urgent, ,kalo memang gx bisa di proses setidaknya uang dikembalikan ke aku nada"
Siti Mutmainah,"Sistem dana gak jelas. CS tidak responsif. Sudah telfon, lanjut via email, tp tidak ada kelanjutannya. CS di aplikasi yg bales bot. Maunya apa sih?"
Yanuar HS,"Saya beli pulsa, minta tambahan waktu lama. Pdahal sedang butuh cepat, tapi tidak respon live chat. Dan sampai sekarang pulsa tsb blum masuk. Nuub"
MbeLu Fishing,Ndak terlalu berguna . Mau pindah saldo ke aplikasi error' terus . Terutama shoope . Sudah betul rekening tapi tulisan tidak terdaftar . Pindah ke premium verifikasi wajah gagal terus 👎👎👎👎👎👎👎
Chanel Mba Adah,Kecewa...mau upgrade premium kok susahnya minta ampun. Pdhl langkah2 sdh sesuai tp msh aja gk disetujui. Aku sdh coba sampe puluhan kali. Selama 4 hari msh saja gk bisa. Uang sdh aku topup tp gilian utk trransfer kok dipersulit. Dongkol banget. Sampe nyerah. Live chat hny disuruh coba lagi. Mau coba brapa ratus kali? Ktp dan dataku sdh benar. Tp dibilang penipuan. Aneh. Nama dan KTP sdh sesuai yg aku daftarkan. Terlalu. Habis ini kalo saldoku habis mau aku uninstall saja. Ribet.
Candra Candra,Aplikasi gak jelas. Akun udah pernah di pakek ganti akun malah sulit cs gak bisa di hubungi dan nggak butuh pelanggan kayaknya.
Eka Mulyana,Upgrade selalu gagal Mau ambil uang jadi tidak bisa dan tak ada tanggapan apapun selalu bilang tunngu 10 tapi tidak ada proses apapun lagi
Soraya nada,"Akun dana saya ke log out sendiri. Daaan parahnya ternyata sudah diganti (dihack) dg nomor org lain yg nomornya gak saya ketahui. Smua uang saya gak tau gimana nasibnya. Sudah chat email, tapi males saya respon karna bukan hanya kirim data2, tapi kirim juga verif wajah yg ada noleh kanan kiri dan mengedipkan mata. Saya trauma disalahgunakan lg."
Aries Deimos,Tolong di tambahkan fitur bisa transfer/kirim uang ke aplikasi lain seperti misal DANA KE GOPAY atau sebaliknya....Jadi buat nyaman kalo misal mau mengalihkan saldo GOPAY KE DANA
Jhon Kanedi,Saya kasih bintang satu dulu karena aplikasinya bisa buk gitu saya mau top up malah nggak bisa udah dana gua hilang diamonnya juga nggak masuk dan satu lagi pas mau transaksi di saya udah masuk masa di penerima belum masuk ini sinyal gua yg buruk apa gimana sih bingung saya udah hilang dana
Irvani Yahya,"dua kali kejadian kaya gini, top up saldo dari mbanking BCA ga masuk masuk, sedangkan di mutasi mbanking transaksi berhasil, maaf udah kecewa sama dana ga ada respon apa apa, sudah ss kirim bukti transfer malah dikira palsu katanya karena ga ada tulisan apalah itu ga jelas."
Alghifary Akbar,"Nambah lama Bingung saya sama apk DANA., masa saya sudah topup tapi saldonya malah gak masuk2., parah bgt dah., padahal saya sudah lama pakai apk DANA"
Ebar Temok,"Sekarang makin aneh aja nih aplikasi,,yg udah sebulan pending,,gk di proses,,sekarang isi saldo malah gk masuk,,keterang pas ngisi sukse,,tapi saldo gk masuk,,mana gk ada fittur live chat nya,,makin susah komplain,,malah di suruh sabar mulu sama sistem nya"
Hamzah mauludin,"buat teman teman, gak usah dwonload ini aplikasi, setiap mau kirim uang masa harus upgrade identitas terus, verivikasi gagal terus jga, bukan nya mempermudah malah jadi mempersulit nama nya ini mah, bener bener kecewa gue sia"
azis faquza,Sangat mengecewakan. Karena akun dana saya terkena transaksi penarik saldo sebanyak 50an kali ke google tanpa persetujuan saya dan tidak menggunakan pin akibatnya sampai menghabiskan Saldo Dana Saya sebanyak 2jtan. Laporan pun bingung terlalu banyak prosedur. Yang saya butuh contact person bukan ini itu. Sangat di sayangkan aplikasi BESAR sekelas dana sampai seperti ini.
Ririt Riaka,"kenapa ngak ada paylater nya, isi saldo hampir limit terus tiap bulan udah berapa tahun dan ini lg butuh duit ngak juga di kasih paylater duit keluar masuk selalu dalam jumlah besar padahal"
Ardi Wiranata,Uang masuk.. tapi tidak bisa transaksi knp ini? Sudah di update juga gk bisa kenpa.? Kenapa semakin susah di pake sih?? Kalau sudah bisa transaksi saya kasi bintang full
Ayu Putrie96,Sistem sibuk mulu. Terus suka eror mulu. .. terus transaksi tertunda uang ke potong tapi tidak masuk ke rekening malah nyangkut berhari hari . Gimana klu orang sedang butuh uang dan gk ada lagi kan repot.. udah gitu log out mulu Jgn sampe pada beralih ke shopee
Hendra Rivandy,"BURUK ,,akun saya sebelum nya sudah premium dan sempat dipakai transaksi ,tapi malah kembali menjadi reguler ,daftar premium malah ditolak dengan alasan ktp berbeda dengan selfie ..sistem macam apaan coba .dasar robot"
Iin Ina Asarotun,"Aplikasi nya sangat"" TIDAK membantu sekali super lemot dan suruh upgrade tp verifikasi gagal krn foto KTP tidak jelas dan saya verifikasi lagi malah gagal terus karena KTP sudah dicoba berkali-kali padahal nyoba 2 kali setelah verifikasi gagal dan kau chat customer server lemot banget ga bisa buka sama sekali,, kacau...auto langsung uninstall dah"
Koko fire,"No hp saya sudah benar,,transaksi selama ini juga banyak,,Kog tiba2 gak bisa login,katanya dah dipake orang, lah ini no saya woi,,DANA sudah gak jelas,diWA jga responx lambat!"
ALPIAH MEI DINAR NASUTION,"mohon maaf sebelumnya,saya kan baru nginstal apk dana di hp saya,ketika udh selesai diinstal waktu saya mau buka apk nya tiba tiba keluar sendiri dari apk nya tanpa sebab padahal gak diapa apain.udah coba berkali kali tetap sama aja gak bisa login.mohon diperbaiki lagi untuk saat ini saya hanya bisa memberi rate 3 untuk apk nya,nanti kalau sudah bagus saya kasih rate 5"
Nna Tresna,"Nomor gw ilang dan udah hampir 4 tahun gw gak bisa ganti nomor, udah ke call centernya, lewat email, tetep gak bisa, sangat berbelit2, malah seringnya sistem eror! ahirnya akun gw gak balik sampai sekarang, ribet sistemnya padahal ktp gw dah masuk akun dana, gw gakkan ngasih bintang 5 sebelum akun gw balik lagi!!"
Teti Hardiyanti,Saya menginstal ulang aplikasi dana setalah saya buka saya diminta untuk update ke versi terbaru. Ini sangat aneh. Baru saja saya install kok minta di update semantara tidak ada keterangan untuk update. Gmn tuh.
Sahabat Macan,Semakin gak jelas ini aplikasi yang di minta apa yang mereka minta kayak orang mau ngurus di kantor desa yang di minta kode Verifikasi malah belit ntah ke mana mana jadi nggak bisa masuk Tolong lah di perbaiki jadi nggak bisa di pakai saldonya
Ferry padli,"di php saya,saya tidak bisa menggunakan Dana premium dengan catatan foto e-ktp saya dengan foto selfi saya berbeda. dikarenakan wajahnya berubah.berkali-kali ditolak. jadi bagaimana dengan saldo saya? saya tidak bisa kirim/transfer 😒"
Ujang Zamal,"Dana semakin keliru akun sudah premium pas udah isi saldo jadi tidak premium lagi akun saya, kacaw aplikasi dana, CS dana nya lelet banget gx kaya aplikasi yg sebelah , masa masalah serius harus nunggu 3 sampai 5 hari Perbaiki dong aplikasi dana ini uang saya ada di dana semunya gx bisa di tarik di karenakan ngeclose akun premium parah , tolong untuk cs dana sediakan no hp biasa buat keluhan biar bisa di telpon, janganpake call center mahal banget, kalau gini terus mau laporan saja. kecewa"
Yu Nita,"Ini kenapa aplikasinya lambat banget ya, cuma mau liat kontak loadingnya lama. Udah uninstall reinstall berkali-kali, hapus cache jg. Tolong diperbaiki lagi"
Chand Soeria Malik Ibrahim,"Sudah beberapa hari tidak bisa digunakan, timbul tidak ada koneksi internet kacau...!!! Aplikasi yang lain lancar tidak ada masalah, mau ditransfer susah...!!! orang lagi butuh kasian tauuu...!!! tidak perlu berbalas pantun perbaiki aplikasinya/apalah biar pengguna tidak kecewa..."
Yusri Andy,tolong servernya di perbaiki saya ingi membayar tagihan tapi server eror terus tolong secepatnya di perbaiki jika ada keterlambatan pembayaran kami juga yg rugi padahal dulu saya puas sekali pake dana tapi sekarang lemot sekali
Neng Siti,"nyesel download baru coba bgt pake dana kupikir lbh dipermudah tapi mlh jd lbh susah, mau upgrage k premium aja kendala privasi trs pdhl udh hampir 2x 24 jam nunggu. di email pun masih sama jawabannya dari hari kmaren smpe sekarang."
Ahmad Furqon,"Susah upgrade ke dana premium.. padahal udah pakai KTP udah kasih data pendukung. Tetep aja gagal.. apa sih yg kalian inginkan?. Kalo mau dapat customer,jangan persulit server dong. Tingkatkan kualitas. BI aja gampang akumulasi data.. ini aplikasi susah banget."
Reyhan Nizar,"Parah, verifikasi akun premium udah 3x gabisa-bisa padahal sudah ada backup data yang lain, terus customer servicenya juga suka close sendiri belum juga sempet nanya"
Chasanah Rahma,"Saya gabisa transaksi sama sekali dari tgl 3, terus laporan diurusnya 2 hari lama bgt, setelah 2 hari dapet kabar harus nunggu 3x24 jam nanti baru bisa transaksi. Setelah 3x24 jam belum bisa juga woy wkwk. Laporan lagi malah harus ngulang dari awal kirim foto ktp lah, bikin video lah. Ribet, uninstal aja udh ga ada guna nya kalo gabisa transaksi mah"
Np Sherly,"Biasanya sih pakai ovo nah sekarang pakai dana malah kek gini harus upgrade ke premium lah terus pas diupgrade gabisa padahal uangnya diperlukan mendesak, tolong dong developernya gimana nih,apk kan dibuat untuk mempermudah hidup ini malah mempersulit hidup 😪👎👎👎👎"
Itok Triswantoro,Tidak profesional CS nya. Lambat penanganannya. Saya kecewa isi saldo dana saat urgent saldo tidak masuk. Sudah chat ke pusat resolusi dan kirim bukti transfer nya lambat sekali penanganan. Sangat tidak profesional management nya. Harusnya customer diberi penjelasan saldo tidak masuk karena apa. Ini cuma suruh nunggu dengan nomer tiket. Sumpah demi apapun mengecewakan!!!
Arief Reza Channel,"Aplikasi teu bermutu, musingin, sering error. Akun saya udah premium, diinstal ulang aplikasinya, pas masuk akunnya balik lg jd yg biasa! Mau upgrade gagal terus...aplikasi sampah"
Neng mursinah,"Kepada Yth. Media Konsumen, Saya top up dari m-banking Mandiri ke DANA, pada tanggal 08 mei 2023 pukul 18.10, sebanyak Rp485.000 Akan tetapi sampai sekarang saldonya belum bertambah juga belum masuk. Saya lampirkan foto saldo mandiri saya yang sudah terpotong dan foto saldo dana saya yang tidak bertambah. Tpi belum masuk sampe skrng"
Ericson Chandra,"Makin lemot, sering error. isi saldo pake qrcode sering tidak dikenali. Makin laku bukan nya kualitas makin ditingkatkan, malah sebalik nya👎"
Rizki Ramadhan,Kenapa saya tidak bisa masuk akun saya . Bacaan nya nomor sudah terdaftar dengan pengguna lain tolong solusinya . Masalah ga kebuka gimna itu min padahal nomor ada disaya tapi ga bisa masuk
Joni Singap,"Sistemnya masih perlu di tingkatkan,masih rawan di bobol. Seperti akun saya,ada transaksi ghoib (Aneh) tanpa sepengetahuan saya,alhasil saldo saya kepotong."
Oca Oca,"Udh di update ke akun premium masih saja kendala KTP buram ini itu, semua udh sejelas jelasnya masa iya kita upload terus kayak ngk ada hasil, problem skli udh beberapa hari ngk ada hasil tetap hasilnya sama biar pun pake hp lain mi"
N A 1999,"Kalau ada uang masuk kena potongan terus.. Meskipun Rp500 sy bisa transaksi lebih dari 10x sehari soalnya saya jualan online.. Kalau begini dihitung"" Pajak perbulan lebih mahal dari BANK BCA yang notabene BANK no. 1 di INDONESIA."
arka Alvi,"2 bulan yg lalu bagus bgt ini aplikasi. karna keamanan data dan akun dijamin 100% dengan adanya fitur pemindahan akun. jadi gak perlu khawatir kalo nomer ilang dan gak apal nomernya. tapi makin kesini, malah susah banget buat gunain fitur pemindahan akun, dan makin ribet. semoga fiturnya bisa dibalikin kaya 2 bulan yg lalu"
miftakhul ahda,"aplikasi kayak sampah.. sudah pernah di upgrade dan bisa tarik dana,sekarang g bisa di buat tarik dan harus upgrade dan gagal terus"
Neo Kiu,"Ga bisa mengtautkan antara dana dengan tiktok, padahal sudah memasukan no HP dengan benar. Semakin kesini menurutku semakin lemot🙏."
Arie XL,Semenjak di upgret terlalu sering bermasalah. Sering banget tidak bisa transaksi replay system sedang sibuk
Qinoy Threesixty,Sering error terus knpa ya. Lag terus mau scan . Minimal kalo mau ada perbaikan di kasih tau dulu biar hapal gitu
Isma Wati,Maaf ka untuk sekarng ak kasih bintang 3 dlu karna proses pengembalian dana lama bnget. Sedangkan saya mau isi pulsa Lagi. Karna saya isi pulsa gagal dan ingin pengembalian dana susah. Padahal kan bukan kesalahan jaringn saya...mohon di perbaiki saya menunggu smpai saat ini pengembalian dana. Dan udah 3 hari blom di kembalikan ke saldo
Tarry Tania Putri,"TIDAK RECOMMEND Nyesel menggunakan dana.. Ada kendala tapi tidak ditangani dengan serius, menghubungi untk nanya kelanjutan kendala tapi kayanya yg jawab bot/otomatis deh.. Uang saya hilang entah kemana menggunakan aplikasi ini dan dan bahkan tidak ada kabar untuk kenjutannya sampai saat ini !"
Santi Patimah,"Kayaknya aplikasi ini cukup bagus, cuma di instal di hp saya gak bisa masuk terus/keluar terus kenapa yah, mungkin aplikasinya tidak support untuk android saya yang versinya di bawah. Saran harusnya aplikasi ini bisa di instal oleh android versi apapun."
Putraa Putra,"sudah bagus,namun ada sering beberapa pas ngecek saldo eror,kadang malah keluar sendiri padahal jaringan ya bagus,tolong kerja samanya perbaiki bug pada apk ini,mohon maaf bukan jika perkataan saya ada yang kurang menyenangkan🙏salam hormat,salam sejahtera buat kita semua semoga tetap memberikan yang terbaik😊👌"
Faliha Ardhelia Nasution,"Tolong dong ini dana dihubungi lewat aplikasi susah banget membantu dan merespon, walaupun cuma pihak mediator kan ada tanggung jawab kalian juga. Apa ruginya membantu client, ini dari pihak aplikasi nyuruh hubungi lewat email, sedangkan email tidak membalas, bagaimana saya bisa menyelesaikan masalah saya kalau pihak dana membantu pun setengah hati begini, gak bisa hubungi cs via whatsapp kah atau dipermudah lagi dari segi lain. Kurang puas sama dana, rugi selalu"
Arjuna Pratama,"Terimakasih dana ...beberapa bulan yang lalu memang layanan di aplikasi dana kurang bagus.tapi kini layanan dana sudah kembali membaik.fitur-fiturnya juga sudah lebih baik lagi.sudah bisa buat isi saldo Shopie pay,ovo go pay dan isi etol."
Dodi Piasettyo,Ada kendala akun saya isi 20 RB tiba tiba saldo saya kosong/0 tpi di transaksi saya kirim saldo ke orang sebelum nya juga begitu dengan nomor telpon sama dan saya udah ubah pin saya lapor lewat ke akun dana kenapa tidak bisa dan tiba tiba ada yang balas cht sama Diana padahal saya ga pencet tolong keamanannya di tingkatkan saya rugi 40 RB walaupun orang lain tau pin dan nomor ponsel tpi kudu wajib tau asli yang mana padahal udah premium maaf saya berhenti menggunakan dana
Desam Pbun,Sya ksih bintang full nah... .tolong kembalikan akun saya karena saya tdk bsa masuk. Meskipun sudah sertakan no nya malah pemberitahuannya no anda sudah terdaftar tapi tdk bsa masuk? Tolong bantu saya pihak delover.!
Romadon Erma,"Kenapa terjadi pembelian bertahap pada akun dana saya,, padahal sudah saya bayar untuk biaya keamanan setiap saya melakukan transaksi dan saya juga sudah membatalkan segala bentuk langganan saya pada semua akun yg terkait pada akun dana saya, mohon pihak dana memperbaiki hal tersebut, dan masalah itu sudah terjadi berkali-kali dan pihak dana hanya mengatakan minta maaf -minta maaf saja, saya mohon kebijakan nya, sebelum ada pembelian harus ada pemberitahuan terlebih dahulu Terima kasih"
muhamad fahri2808,Kenapa hanya Axis saja yang tidak bisa membeli pulsa di dana? Padahal saya sengaja top up dana banyak buat beli pulsa yang lebih murah tapi kenapa malah tidak bisa?! Mohon perbaiki kalau memang tidak bisa beritahu di deskripsi aplikasi ini ngasih tau pas mau pembayaran jadi nyesel-kan! Anj- emang!! Bintang satu untuk aplikasi ini!. Selagi gaada perubahan bintang tetap satu!!
Abdur Rahman,"Bingung dikit2 minta update terus tapi aplikasi tetep aja lemot apalagi saat buka aplikasi, gunanya apa update terus tapi gak ada perubahan.. Yakin sih bakal pindah orang2 pake dana.."
WG Cell,"Transaksi sukses tapi uang gak masuk di rekening, apk makin gak jelas, sama aja penipuan, giliran buat laporan malah bot yg balas pesan, disuruh cek mbanking, jadi kalau gak ada mbanking, makin merana lah user yg guna aplikasi mau gak mau ikhlas kan aja lagi ,sangkain saya aja yg kenak, rupanya nya udah banyak yg kenak"
Suryana Tity,"Sangat buruk, transaksi menunggu 24jam, udah nunggu 24jam pas dibuka apknya lagi masih blum selesai juga transaksi nya, dan lebih parah nya lagi bukannya saldo kembali/transaksi berhasil ini malah di suruh menunggu lagi dan estimasinya sampai 5hari sekian jam lagi."
ARIANI NST,Maaf sebelumnya... Susah sekali buka aplikasi dana ini... Baru bbrapa hari yg lalu download & tidak ada masalah dgn aplikasinya... Skrg tiap mau dbuka ga bisa2..knp begini aplikasi dana ini... Saya sudah bolak2 balik hapus cache tpi tetap tidak bisa dbuka...masa harus download baru lagi
Y Agustina,"aplikasi dana .sdh berjalan 4 thn lamanya .baru menjadi premium.kendala no akun lama sdh tdk terpakai ,krn di gantikan dengan no akun baru .smg bisa isi saldo dan bisa di gunakan untuk bertransaksi kembali lebih mudah .terimakasih aplikasi sll sukses terus ."
Rosita,"Hai. Aplikasi ini sangat membantu. Terlebih fitur top up uang elektronik (E-money). Semoga kedepannya bisa lebih banyak platform uang elektronik yg bisa di top up, seperti Brizzi, Flazz, Dll. Terimakasih ya."
Edy Sahiri,Pembayaran layanan Pulsa & Data gagal. Cek detailnya disini. Tidak bisa melakukan transaksi saat isi pulsa dan data tolong perbaikan nya
Caps Lock,"Ini gimana aplikasi.. Tadi di logout nomor akun dana yang lama, terus login di nomor baru.. Nah setelah itu nomor baru di logoutin lagi.. Nah login lagi pake nomor yang lama.. Namun ga bisa.. Muncul keterangan. "" Nomor sudah terdaftar atas nama pengguna lain.mohon periksa kembali "" itu kenapa ya.. Mohon di respon.. Soalnya kirim email lama banget responnya"
Hendy Franata,"Sekarang dana Apk nya berat,, mw refersh saldo aj lama sekali,,, padahal koneksi wifi kartu bagus bagus aja,, udah di update msih saja berat,,, gk seperti dlu lancar lancar saja,,, tolong di perbaiki lah bug bug ny yg buat apk jd lemot skrg"
Newrealme Me,"Dana harus upgrade premium?? Sudah saya berikan data yang benar,, e-KTP yg benar KK yang benar.. Malah di bilang e-KTP tidak fisik asli.. Kalian ingin fisik asli apa data asli?? Sudah saya beri e-KTP fisik asli, kalian bilang data tidak jelas? Main2 saja kalian, kalian bisa cek itu data saya asli semua sesuai KK juga sama, trus apa lagi? Mau kirim duit sendiri aja kalian persulit..! Duit juga bukan duit kalian, malah kalian bikin susah.! Aplikasi buruk..!"
wilian Suhendar,"Susah amat mo ngambil duit harus upgrade, tapi begitu di upgrade verifikasinya di persulit, padahal itu duit butuh banget, menyesal saya transfer uang kesini"
Xion Gaming,"Aplikasi nya lumayan bagus,tapi masih ada kendala dalam jaringan,tolong di perbaiki dalam pengoptimalan jaringan nya,kadang saat saya login,itu jaringan nya harus stabil banget, padahal di aplikasi dompet digital lainnya tidak seperti ini,mohon di perbaiki dana 🙏"
Hendrik Prayitno,"Dana untuk keluahan lambat sekali, aduan lewat email dan hubungi kami yg balas hanya bot..padahal uang ada di dana sudah hampir 1 Minggu dana masih belum bisa dibuka..mending lapor KOMINFO aja biar aplikasi dana di blokir sekalian"
Linda Sari,"Sudah di update, malah jadi tambah parah. Berfikir saja group DANA, jangan sampai Nasabahnya lari ke E/walet yang lain. Belakangan ini jadi tambah kacau Aplikasinya.. . Lihat dulu aplikasinya, setelah di update gak bisa di gunakan...."
Abdul Hadi,"Saya kasih bintang 4 dulu, tolong limit nya di besarkan, dan skrng saya malah tidak bisa bertransaksi sama sekali dan du keterangan alasan nya karna keamanan 😭 ada ada saja lah dana ni 😭 padahal saya mau tarik tunai uang nya mau kepake 😭"
Yayang Wr,"Keamanannya kurang banget. Waktu top up salah nomor, nomor yg bersangkutan belum pasang dana tapi tetap masuk. Waktu minta transfer balik dia ga bisa, karena belum bikin akun dan harus di upgrade dulu setelah bikin. Alhasil duitnya hangus. Padahal uangnya ga sedikit 🥲"
Dewi Christiani,"udah bertahun-tahun pakai DANA tapi makin kesini makin lemot app nya .. ku kira karna harus update , ternyata sehabus update pun tetep aja lemot , server sering error . tolong dong diperbaiki lgi .. jangan makin hari makin buruk gini 🙏"
Evi Selvina,"Saya membeli paket data Transaksi berhasil tapi paket data saya tidak masuk saya sudah menulis laporan 2hari yang lalu tapi sampai saat ini belum ditanggapi, bagaimana ini dimohon ditangani secepatnya ya!!"
DAFI RAYA PANGGALANG,"saya pengguna lama dana, dana masih yang ternyaman sampe saat ini, kalo pada bilang saldo pada suka hilang, coba cek kamu langganan apa wkwk, masalah lemot?mungkin hp anda yg jadul, di saya gapernah ada kendala, thx saya hanya memberi review yg jujur 👍"
aldiana ramadan,"BOBROK, AMPAS, SAMPAH. udah keseringan nih, Transaksi berhasil, tapi tidak sampai ke rekening tujuan, udah e-mail dan udah complain lewat ""CHAT"" malah ada respon sama sekali.Udah 3 hari uang ngegantung ga tau kemana."
Rus Ya,"dana emang yg terbaik ,,ga perlu repot2 mau ngirim uang ke sodara ke teman ,yg penting ada saldo nya ,,dan 1 lagi ,top ap di Alfa mau berapa banyak kita top ap ,,tidak ada biyaya sama se x ,Poko nya apk DANA ,ITS the best"
Komang Trisnawati,Jelek sekali aplikasi ini sudah upgrade tapi di tolak udah nunggu lama perlu cepet jg. Benar bnr jelek ni aplikasi. JELEK SEJELEKNYA
J On,"Transaksi saya ter cancel lebih dari 24 jam, sedangkan saldo sudah terpotong. Setiap kali coba chat ke AI nya, jawabannya selalu sama disuruh menunggu. Yg saya herankan, apakah tidak ada niatan dari pengembang apk Dana untuk memperbaiki tanggapan ataupun keluhan dari pengguna ? Ataukah memang pihak apk Dana sendiri merasa kalau pengguna itu tak perlu direspon jika punya masalah dalam transaksi ?"
andika kurniawan,"verifikasi dana premium gagal.! kendala verifikasi, padahal semua data sudah lengkap dan jelas semua dikirim, internet dan jaringan aman lancar. disuruh menunggu, 3, sampai 5 hari, padahal dana mau segera dipakai untuk transaksi.! mohon segera diperbaiki.!"
Airin Faradilla,"Aplikasi gak jelas, transfer aja harus nunggu sampe 5hari, udah gitu gak bisa di batalin transaksinya! Udah livechat di balesnya gitu doang, gak ada kejelasan!!"
Sougayilang Cemong,Sangat tidak aman.. saldo mudah sekali pindah ke no lain tanpa memasukkan pin(phising) ajukan komplain pun uang tidak bisa kembali ( 3jt raib bgtu saja )
DEDDY WIBOWO,"Makin kesini makin kesana, udah update jaringan oke tapi lemot, di klik kirim mau masukin nomer gak muncul2 kolomnya, giliran di pencet banyak biar cepet muncul malah jadi spam kolom nomernya muncul terus..haddehhh"
tika wulandari,"gimana cara makenya , maksa banget buat ngasih data pribadi ktp buat bisa akses transfer , kominfo kemana? gak ada tindak lanjut nih ? pengambilan data"
Zaenal mutakin,"Makin kesini makin kacau ni aplikasi dana, masa reset/kluar sendiri pas login lagi ada notif no ini sudah digunakan oleh pengguna lain kan ga nyambung, tolong pihak aplikasi dana bereskan masalahnya"
Cecep Ruswandi,"🥰 aku turunkan bintang nya karena ada beberapa transaksi yg berhasil namun uang nya atau pulsanya tidak masuk, saya pantau kedepannya jika terlihat kembali baik akan saya tambah lagi bintang nya"
Syahrul Qboen,"Lucu sih, dalam pembelian bisa doble gitu. Mana saldonya juga di potong pula. Udah ngepotong saldo orang malah di lempar ke orang lain."
Gilang Ramadhan,"Padahal sudah daftar premium kak, tiba tiba transaksi gak bisa lagi di suru daftar lagi, teus pas daftar lagi nomor nik sudah terdaftar ke akun lain katanya 😆😆😆 sudah top up juga hhhmmmm cs nya looowwwwww bet dah 🤣🤣🤣🤣, enjoy your application dude"
Lexia,"Force close terus kenapa ya? Saya sampe harus ganti kata sandi lagi tapi masih tetep force close. Udah update juga masih force close. Jaringan dan kondisi hp aman, di update malah makin error."
Aji William,"Aplikasi ga berguna, masa saldo bisa kebobol sendiri tanpa di sadari, buat kalian yg mau nyoba pake dana, mending ga usah dehhhh, sebelum nyesel nantinya.."
Dede misbah,"Disuruh masukin pin padahal baru login, gimana masukin nya coba login aja belom pernah Disuruh update, padahal kagak ada update di play store lawak nih apk dana Sangat mengecewakan"
Bobby Zaenuddin,"Saya kasih bintang 4 karena tidak ada opsi pembayaran selain lewat DANA dimana harus top-up dahulu baru bisa bayar tiketnya. Akan jauh lebih baik bila ada banyak opsi pembayaran seperti via virtual account bank, dan metode pembayaran lainnya"
Pasha Chelsea,aplikasi ampassss...kecewa bgt..pelayanan pengaduan lambat harus nunggu 2hari....dapan TF dah berhasil saldo g nambah....jangan pernah pakai DANA sblm terlambat...brosurnya aja yg bagus kenyataanya ngampass
Moh Rafek,"Aplikasi dana sekarang sudah tidak seperti dulu, saya kehilangan saldo rekening saya tanpa ada notifikasi ataupun kode ottp. Sudah buat laporan sana sini tetap saja disuruh tunggu, sudah 10 hari tanpa ada kejelasan. Semoga ini dibaca dan diperbaiki lagi untuk sistem kemanannya, karena pelanggan itu nomor 1 dan kalian harus menjaganya. Terima kasih"
animers crew,"Sangat mengecewakan sekali, saldo hilang gak jelas udah transfer di riwayat dalam proses terus, CS juga sama tidak ada solusi yang jelas suruh nunggu terus. Bentar lagi bakal aq hapus aja ganti ewalet yg lain, ini seperti penipuan yg awal"" Bagus lama"" Jadi jelek banget."
